V,k_target,k_actual,edge_count,density,skip_ratio,push_per_node,push_count,pop_count,skip_count,time_mean,time_std
500,4,5.98,1495,0.011984,0.357326,1.556,778,778,278,0.000707,1.2e-05
500,8,9.97,2492,0.019976,0.47644,1.91,955,955,455,0.001,4e-05
500,16,17.94,4486,0.03596,0.582986,2.398,1199,1199,699,0.001647,5.9e-05
500,32,33.91,8478,0.06796,0.661247,2.952,1476,1476,976,0.003776,8.3e-05
500,64,65.83,16458,0.131928,0.715748,3.518,1759,1759,1259,0.00834,0.000146
1000,4,5.99,2996,0.005998,0.368288,1.583,1583,1583,583,0.001927,0.000163
1000,8,9.99,4996,0.010002,0.487179,1.95,1950,1950,950,0.003161,8.6e-05
1000,16,17.98,8990,0.017998,0.583854,2.403,2403,2403,1403,0.006418,0.000558
1000,32,33.96,16979,0.033992,0.667664,3.009,3009,3009,2009,0.011667,0.000957
1000,64,65.91,32953,0.065972,0.715586,3.516,3516,3516,2516,0.022701,0.000517
5000,4,6.0,14998,0.0012,0.356996,1.5552,7776,7776,2776,0.016914,0.000575
5000,8,10.0,24997,0.002,0.490316,1.962,9810,9810,4810,0.02801,0.000323
5000,16,18.0,44992,0.0036,0.593364,2.4592,12296,12296,7296,0.04813,0.000931
5000,32,33.99,84978,0.0068,0.666778,3.001,15005,15005,10005,0.08649,0.001666
5000,64,65.99,164963,0.0132,0.716505,3.5274,17637,17637,12637,0.155493,0.002643
10000,4,6.0,29998,0.0006,0.362001,1.5674,15674,15674,5674,0.042956,0.000686
10000,8,10.0,49995,0.001,0.490472,1.9626,19626,19626,9626,0.070292,0.001439
10000,16,18.0,89986,0.0018,0.593595,2.4606,24606,24606,14606,0.118493,0.000885
10000,32,34.0,169979,0.0034,0.667631,3.0087,30087,30087,20087,0.204017,0.002049
10000,64,65.99,329964,0.0066,0.717586,3.5409,35409,35409,25409,0.379172,0.010957
50000,4,6.0,149995,0.00012,0.363195,1.5703,78517,78517,28517,0.397889,0.01657
50000,8,10.0,249993,0.0002,0.489483,1.9588,97940,97940,47940,0.588415,0.009186
50000,16,18.0,449987,0.00036,0.592116,2.4517,122584,122584,72584,0.996841,0.007891
50000,32,34.0,849981,0.00068,0.666193,2.9957,149787,149787,99787,1.703421,0.007048
50000,64,66.0,1649964,0.00132,0.716626,3.5289,176445,176445,126445,3.042128,0.054096
