V,k_target,k_actual,edge_count,skip_ratio,push_per_node,push_count,pop_count,skip_count,time_mean,time_std
1000,4,5.99,2996,0.368288,1.583,1583,1583,583,0.001927,0.000163
1000,8,9.99,4996,0.487179,1.95,1950,1950,950,0.003161,8.6e-05
1000,16,17.98,8990,0.583854,2.403,2403,2403,1403,0.006418,0.000558
1000,32,33.96,16979,0.667664,3.009,3009,3009,2009,0.011667,0.000957
1000,64,65.91,32953,0.715586,3.516,3516,3516,2516,0.022701,0.000517
1000,128,129.84,64920,0.757282,4.12,4120,4120,3120,0.074699,0.002662
1000,256,257.67,128833,0.778859,4.522,4522,4522,3522,0.147616,0.001987
1000,512,513.46,256730,0.792746,4.825,4825,4825,3825,0.183005,0.002794
10000,4,6.0,29998,0.362001,1.5674,15674,15674,5674,0.042956,0.000686
10000,8,10.0,49995,0.490472,1.9626,19626,19626,9626,0.070292,0.001439
10000,16,18.0,89986,0.593595,2.4606,24606,24606,14606,0.118493,0.000885
10000,32,34.0,169979,0.667631,3.0087,30087,30087,20087,0.204017,0.002049
10000,64,65.99,329964,0.717586,3.5409,35409,35409,25409,0.379172,0.010957
10000,128,129.99,649938,0.750112,4.0018,40018,40018,30018,0.780676,0.174344
10000,256,257.97,1289872,0.776766,4.4796,44796,44796,34796,1.967856,0.209405
10000,512,513.95,2569762,0.792931,4.8293,48293,48293,38293,3.288447,0.756839
