V,k,label,algo,E,time_mean_ms,time_std_ms,max_err,correct,op_push_count,op_pop_count,op_skip_count,op_skip_ratio,op_bucket_push_count,op_stale_skip_count,op_settled_count,op_insert_count,op_extract_min_count,op_decrease_key_count
1000,8,sparse,heapq,4996,2.416,0.104,0,True,1899.0,1899.0,899.0,0.473407056345445,,,,,,
1000,8,sparse,dial,4996,1.175,0.128,0,True,,,,,1898.0,726.0,1000.0,,,
1000,8,sparse,fibonacci,4996,10.682,0.414,0,True,,,,,,,,1000.0,1000.0,897.0
10000,8,sparse,heapq,49995,66.811,12.008,0,True,19404.0,19404.0,9404.0,0.48464234178519894,,,,,,
10000,8,sparse,dial,49995,34.561,2.047,0,True,,,,,19376.0,8978.0,10000.0,,,
10000,8,sparse,fibonacci,49995,157.216,16.187,0,True,,,,,,,,10000.0,10000.0,9400.0
100000,8,sparse,heapq,499996,1024.159,22.644,0,True,195639.0,195639.0,95639.0,0.48885447175665386,,,,,,
100000,8,sparse,dial,499996,515.59,16.512,0,True,,,,,195691.0,95648.0,100000.0,,,
1000,32,dense-mid,heapq,16976,9.24,0.942,0,True,3049.0,3049.0,2049.0,0.6720236142997704,,,,,,
1000,32,dense-mid,dial,16976,6.99,0.364,0,True,,,,,3056.0,839.0,1000.0,,,
1000,32,dense-mid,fibonacci,16976,16.559,1.331,0,True,,,,,,,,1000.0,1000.0,2030.0
10000,32,dense-mid,heapq,169978,169.627,7.194,0,True,29595.0,29595.0,19595.0,0.6621050853184659,,,,,,
10000,32,dense-mid,dial,169978,118.543,3.605,0,True,,,,,29618.0,12366.0,10000.0,,,
10000,32,dense-mid,fibonacci,169978,230.748,19.542,0,True,,,,,,,,10000.0,10000.0,19645.0
1000,64,dense-high,heapq,32957,17.333,0.739,0,True,3459.0,3459.0,2459.0,0.7108991037872218,,,,,,
1000,64,dense-high,dial,32957,13.594,0.409,0,True,,,,,3464.0,784.0,1000.0,,,
1000,64,dense-high,fibonacci,32957,23.716,1.145,0,True,,,,,,,,1000.0,1000.0,2456.0
10000,64,dense-high,heapq,329959,298.348,8.798,0,True,35069.0,35069.0,25069.0,0.7148478713393596,,,,,,
10000,64,dense-high,dial,329959,227.343,3.608,0,True,,,,,35095.0,10998.0,10000.0,,,
10000,64,dense-high,fibonacci,329959,342.896,23.64,0,True,,,,,,,,10000.0,10000.0,25063.0
