V,k,label,algo,E,time_mean_ms,time_std_ms,max_err,correct,push_count,pop_count,skip_count,skip_ratio,insert_count,extract_min_count,decrease_key_count,bucket_push_count,stale_skip_count,settled_count
1000,8,sparse,heapq,4996,0.291694,0.0126544,0,true,1990,1990,990,0.497487,,,,,,,
1000,8,sparse,fibonacci,4996,0.706614,0.0272714,0,true,,,,,1000,1000,994,,,,
1000,8,sparse,dial,4996,0.0754516,0.00817381,0,true,,,,,,,,1987,987,1000,
10000,8,sparse,heapq,49995,4.54038,0.28208,0,true,19486,19486,9486,0.486811,,,,,,,
10000,8,sparse,fibonacci,49995,10.2915,0.843013,0,true,,,,,10000,10000,9481,,,,
10000,8,sparse,dial,49995,1.05803,0.177672,0,true,,,,,,,,19484,9313,10000,
100000,8,sparse,heapq,499996,71.5165,4.07255,0,true,195812,195812,95812,0.489306,,,,,,,
100000,8,sparse,dial,499996,26.7819,2.01099,0,true,,,,,,,,195739,95739,100000,
1000,32,dense-mid,heapq,16980,0.454878,0.0203917,0,true,2928,2928,1928,0.65847,,,,,,,
1000,32,dense-mid,fibonacci,16980,0.833492,0.0218279,0,true,,,,,1000,1000,1931,,,,
1000,32,dense-mid,dial,16980,0.116802,0.00454094,0,true,,,,,,,,2919,860,1000,
10000,32,dense-mid,heapq,169983,7.47972,0.2254,0,true,30024,30024,20024,0.666933,,,,,,,
10000,32,dense-mid,fibonacci,169983,12.5359,0.694815,0,true,,,,,10000,10000,19938,,,,
10000,32,dense-mid,dial,169983,2.95202,0.220427,0,true,,,,,,,,29998,10342,10000,
1000,64,dense-high,heapq,32964,0.589527,0.0104552,0,true,3525,3525,2525,0.716312,,,,,,,
1000,64,dense-high,fibonacci,32964,1.10489,0.0744437,0,true,,,,,1000,1000,2496,,,,
1000,64,dense-high,dial,32964,0.171554,0.00897032,0,true,,,,,,,,3511,791,1000,
10000,64,dense-high,heapq,329972,9.5103,0.311704,0,true,35003,35003,25003,0.71431,,,,,,,
10000,64,dense-high,fibonacci,329972,14.2883,0.539557,0,true,,,,,10000,10000,24999,,,,
10000,64,dense-high,dial,329972,4.28425,0.134582,0,true,,,,,,,,35037,10596,10000,
