V,k,E,hq_skip_ratio,time_mean_ms,time_std_ms,bucket_push_count,stale_skip_count,settled_count,occupied_buckets,bucket_traversals,stale_ratio_pop,raw_stale,avg_nodes_per_bucket,avg_dist_spread,max_settled_dist
1000,4,2998,0.361022,0.3,0.059,1568,565,1000,163,252,0.361022,0.360332,6.135,0.251,251
1000,8,4996,0.473407,0.361,0.053,1898,726,1000,110,136,0.420626,0.382508,9.0909,0.135,135
1000,16,8987,0.588138,0.523,0.076,2422,1028,1000,68,93,0.506903,0.424443,14.7059,0.092,92
1000,32,16976,0.672024,0.784,0.083,3056,839,1000,40,47,0.456226,0.274542,25.0,0.046,46
1000,64,32957,0.710899,1.318,0.143,3464,784,1000,25,26,0.439462,0.226328,40.0,0.025,25
1000,128,64926,0.74792,3.101,0.59,3990,865,1000,17,17,0.463807,0.216792,58.8235,0.016,16
10000,4,29997,0.357945,3.51,0.182,15581,5581,10000,223,314,0.358193,0.358193,44.843,0.0313,313
10000,8,49995,0.484642,5.228,0.627,19376,8978,10000,147,193,0.473074,0.463357,68.0272,0.0192,192
10000,16,89990,0.590885,11.389,0.416,24451,11093,10000,96,112,0.525909,0.453683,104.1667,0.0111,111
10000,32,169978,0.662105,26.733,1.236,29618,12366,10000,52,63,0.552893,0.417516,192.3077,0.0062,62
10000,64,329959,0.714848,60.667,0.407,35095,10998,10000,33,35,0.523764,0.313378,303.0303,0.0034,34
10000,128,649933,0.748851,137.088,6.72,39775,10287,10000,20,21,0.507073,0.25863,500.0,0.002,20
