V,k,label,algo,lang,E,time_mean_ms,time_std_ms,max_err,correct,op_push_count,op_pop_count,op_skip_count,op_skip_ratio,op_insert_count,op_extract_min_count,op_decrease_key_count
1000,8,sparse,heapq,Python,4996,2.516,0.051,0.0,True,1981.0,1981.0,981.0,0.49520444220090865,,,
1000,8,sparse,fibonacci,Python,4996,11.77,0.108,0.0,True,,,,,1000.0,1000.0,981.0
10000,8,sparse,heapq,Python,49995,58.324,0.718,0.0,True,19975.0,19975.0,9975.0,0.49937421777221525,,,
10000,8,sparse,fibonacci,Python,49995,179.798,10.472,0.0,True,,,,,10000.0,10000.0,9975.0
100000,8,sparse,heapq,Python,499995,1006.403,13.384,0.0,True,199546.0,199546.0,99546.0,0.4988624176881521,,,
1000,32,dense-mid,heapq,Python,16979,10.97,1.689,0.0,True,3143.0,3143.0,2143.0,0.6818326439707286,,,
1000,32,dense-mid,fibonacci,Python,16979,19.23,0.371,0.0,True,,,,,1000.0,1000.0,2143.0
10000,32,dense-mid,heapq,Python,169979,170.245,0.858,0.0,True,31434.0,31434.0,21434.0,0.6818731310046446,,,
10000,32,dense-mid,fibonacci,Python,169979,279.593,13.919,0.0,True,,,,,10000.0,10000.0,21434.0
100000,32,dense-mid,heapq,Python,1699986,2515.516,18.377,0.0,True,313268.0,313268.0,213268.0,0.6807845040029623,,,
1000,64,dense-high,heapq,Python,32953,23.484,3.275,0.0,True,3727.0,3727.0,2727.0,0.7316876844647169,,,
1000,64,dense-high,fibonacci,Python,32953,27.072,0.15,0.0,True,,,,,1000.0,1000.0,2727.0
10000,64,dense-high,heapq,Python,329964,296.112,1.452,0.0,True,37919.0,37919.0,27919.0,0.7362799651889554,,,
10000,64,dense-high,fibonacci,Python,329964,377.532,20.525,0.0,True,,,,,10000.0,10000.0,27919.0
100000,64,dense-high,heapq,Python,3299965,4217.953,45.892,0.0,True,378646.0,378646.0,278646.0,0.7359010791081908,,,
