V,k,variant,push_per_V,skip_ratio,time_mean_s,speedup_vs_indexed,reps
500,4,lazy_binary,1.2956,0.2436,0.00018,4.6364,5
500,4,indexed_binary,1.2952,0.0,0.000834,1.0,5
500,4,lazy_4ary,1.2944,0.2429,0.000698,1.1948,5
500,4,lazy_8ary,1.2964,0.2441,0.000656,1.2702,5
500,8,lazy_binary,1.7832,0.4399,0.000267,3.3527,5
500,8,indexed_binary,1.7876,0.0,0.000894,1.0,5
500,8,lazy_4ary,1.7828,0.4398,0.001123,0.796,5
500,8,lazy_8ary,1.786,0.4408,0.001004,0.8899,5
500,16,lazy_binary,2.348,0.5744,0.000416,2.3777,5
500,16,indexed_binary,2.3496,0.0,0.000989,1.0,5
500,16,lazy_4ary,2.3548,0.5756,0.001608,0.6148,5
500,16,lazy_8ary,2.3512,0.575,0.001576,0.6274,5
500,32,lazy_binary,2.9468,0.6608,0.000786,1.4562,5
500,32,indexed_binary,2.9556,0.0,0.001145,1.0,5
500,32,lazy_4ary,2.9496,0.6611,0.002023,0.5662,5
500,32,lazy_8ary,2.9436,0.6605,0.002226,0.5145,5
500,64,lazy_binary,3.5268,0.7165,0.001566,1.021,5
500,64,indexed_binary,3.5376,0.0,0.001599,1.0,5
500,64,lazy_4ary,3.5268,0.7166,0.002732,0.5852,5
500,64,lazy_8ary,3.524,0.7163,0.002838,0.5633,5
500,128,lazy_binary,3.9252,0.7453,0.003534,0.5869,5
500,128,indexed_binary,3.9296,0.0,0.002074,1.0,5
500,128,lazy_4ary,3.9292,0.7456,0.003712,0.5587,5
500,128,lazy_8ary,3.9076,0.7442,0.004203,0.4934,5
1000,4,lazy_binary,1.273,0.2336,0.000379,4.8544,5
1000,4,indexed_binary,1.2714,0.0,0.001841,1.0,5
1000,4,lazy_4ary,1.272,0.233,0.001608,1.1452,5
1000,4,lazy_8ary,1.2738,0.234,0.001431,1.2867,5
1000,8,lazy_binary,1.7824,0.4394,0.00059,3.2998,5
1000,8,indexed_binary,1.782,0.0,0.001948,1.0,5
1000,8,lazy_4ary,1.779,0.4384,0.002393,0.8142,5
1000,8,lazy_8ary,1.7796,0.4386,0.002302,0.8463,5
1000,16,lazy_binary,2.341,0.573,0.00101,2.3771,5
1000,16,indexed_binary,2.341,0.0,0.0024,1.0,5
1000,16,lazy_4ary,2.343,0.5734,0.003497,0.6864,5
1000,16,lazy_8ary,2.3424,0.5733,0.003353,0.7159,5
1000,32,lazy_binary,2.9554,0.6617,0.001838,1.4092,5
1000,32,indexed_binary,2.955,0.0,0.00259,1.0,5
1000,32,lazy_4ary,2.9484,0.6609,0.004864,0.5326,5
1000,32,lazy_8ary,2.9534,0.6615,0.004378,0.5917,5
1000,64,lazy_binary,3.4916,0.7136,0.00385,0.8791,5
1000,64,indexed_binary,3.5114,0.0,0.003384,1.0,5
1000,64,lazy_4ary,3.4918,0.7136,0.00753,0.4494,5
1000,64,lazy_8ary,3.4896,0.7135,0.006559,0.516,5
1000,128,lazy_binary,3.9582,0.7473,0.010161,1.1537,5
1000,128,indexed_binary,3.956,0.0,0.011722,1.0,5
1000,128,lazy_4ary,3.9272,0.7454,0.01644,0.713,5
1000,128,lazy_8ary,3.9354,0.7458,0.012419,0.9439,5
3000,4,lazy_binary,1.2907,0.2419,0.001673,4.1097,5
3000,4,indexed_binary,1.2907,0.0,0.006874,1.0,5
3000,4,lazy_4ary,1.2901,0.2416,0.005912,1.1628,5
3000,4,lazy_8ary,1.2901,0.2416,0.005577,1.2325,5
3000,8,lazy_binary,1.7797,0.4384,0.002326,3.1976,5
3000,8,indexed_binary,1.7793,0.0,0.007438,1.0,5
3000,8,lazy_4ary,1.7799,0.4385,0.008612,0.8637,5
3000,8,lazy_8ary,1.7813,0.4389,0.008072,0.9215,5
3000,16,lazy_binary,2.3405,0.5728,0.003909,2.149,5
3000,16,indexed_binary,2.3419,0.0,0.0084,1.0,5
3000,16,lazy_4ary,2.3435,0.5733,0.012513,0.6713,5
3000,16,lazy_8ary,2.3413,0.5729,0.011726,0.7164,5
3000,32,lazy_binary,2.939,0.6598,0.012417,1.6823,5
3000,32,indexed_binary,2.934,0.0,0.020889,1.0,5
3000,32,lazy_4ary,2.941,0.66,0.042599,0.4904,5
3000,32,lazy_8ary,2.9341,0.6592,0.03384,0.6173,5
3000,64,lazy_binary,3.4599,0.711,0.01746,1.1546,5
3000,64,indexed_binary,3.4731,0.0,0.02016,1.0,5
3000,64,lazy_4ary,3.4747,0.7122,0.030184,0.6679,5
3000,64,lazy_8ary,3.4758,0.7123,0.02951,0.6832,5
3000,128,lazy_binary,3.9408,0.7462,0.038065,1.0947,5
3000,128,indexed_binary,3.9266,0.0,0.041669,1.0,5
3000,128,lazy_4ary,3.9282,0.7454,0.054791,0.7605,5
3000,128,lazy_8ary,3.9302,0.7456,0.053735,0.7755,5
5000,4,lazy_binary,1.288,0.239,0.003805,3.5573,5
5000,4,indexed_binary,1.2878,0.0,0.013534,1.0,5
5000,4,lazy_4ary,1.2878,0.2389,0.011508,1.1761,5
5000,4,lazy_8ary,1.2868,0.2383,0.010744,1.2597,5
5000,8,lazy_binary,1.7833,0.4394,0.004559,3.034,5
5000,8,indexed_binary,1.7837,0.0,0.013832,1.0,5
5000,8,lazy_4ary,1.7829,0.4393,0.016012,0.8638,5
5000,8,lazy_8ary,1.7831,0.4394,0.015042,0.9196,5
5000,16,lazy_binary,2.338,0.5723,0.009061,2.0092,5
5000,16,indexed_binary,2.3384,0.0,0.018206,1.0,5
5000,16,lazy_4ary,2.3392,0.5725,0.025436,0.7158,5
5000,16,lazy_8ary,2.3422,0.5731,0.024241,0.751,5
5000,32,lazy_binary,2.9448,0.6604,0.016299,1.476,5
5000,32,indexed_binary,2.9428,0.0,0.024057,1.0,5
5000,32,lazy_4ary,2.9454,0.6605,0.036753,0.6546,5
5000,32,lazy_8ary,2.9454,0.6605,0.035123,0.685,5
5000,64,lazy_binary,3.4905,0.7135,0.040721,1.0986,5
5000,64,indexed_binary,3.4979,0.0,0.044736,1.0,5
5000,64,lazy_4ary,3.494,0.7138,0.060314,0.7417,5
5000,64,lazy_8ary,3.4943,0.7138,0.097771,0.4576,5
5000,128,lazy_binary,3.9455,0.7465,0.076713,0.9939,5
5000,128,indexed_binary,3.9536,0.0,0.076245,1.0,5
5000,128,lazy_4ary,3.9556,0.7472,0.101924,0.7481,5
5000,128,lazy_8ary,3.9502,0.7469,0.109951,0.6934,5
10000,4,lazy_binary,1.2897,0.2404,0.007961,3.4355,5
10000,4,indexed_binary,1.2893,0.0,0.02735,1.0,5
10000,4,lazy_4ary,1.2895,0.2402,0.026021,1.0511,5
10000,4,lazy_8ary,1.2896,0.2403,0.030163,0.9068,5
10000,8,lazy_binary,1.7799,0.4384,0.011851,2.6733,5
10000,8,indexed_binary,1.7802,0.0,0.031682,1.0,5
10000,8,lazy_4ary,1.7797,0.4383,0.0369,0.8586,5
10000,8,lazy_8ary,1.7804,0.4386,0.032711,0.9686,5
10000,16,lazy_binary,2.3568,0.5757,0.019006,1.8251,5
10000,16,indexed_binary,2.3593,0.0,0.034687,1.0,5
10000,16,lazy_4ary,2.3577,0.5759,0.049956,0.6943,5
10000,16,lazy_8ary,2.3588,0.5761,0.047864,0.7247,5
10000,32,lazy_binary,2.9382,0.6597,0.042286,1.5696,5
10000,32,indexed_binary,2.9407,0.0,0.066371,1.0,5
10000,32,lazy_4ary,2.9416,0.66,0.087549,0.7581,5
10000,32,lazy_8ary,2.9401,0.6599,0.090865,0.7304,5
10000,64,lazy_binary,3.4689,0.7117,0.085475,1.0529,5
10000,64,indexed_binary,3.4716,0.0,0.089995,1.0,5
10000,64,lazy_4ary,3.4676,0.7116,0.26393,0.341,5
10000,64,lazy_8ary,3.4736,0.7121,0.13088,0.6876,5
10000,128,lazy_binary,3.9421,0.7463,0.186648,0.8268,5
10000,128,indexed_binary,3.9478,0.0,0.154329,1.0,5
10000,128,lazy_4ary,3.9459,0.7466,0.199638,0.773,5
10000,128,lazy_8ary,3.9416,0.7463,0.20969,0.736,5
