distribution,k_lo,k_hi,k_geomean,local_alpha,one_over_Hk_geomean,ratio
"U[1,100]    (original)",4,8,5.657,0.322791,0.437956,0.73704
"U[1,100]    (original)",8,16,11.314,0.324041,0.331139,0.978565
"U[1,100]    (original)",16,32,22.627,0.286639,0.270943,1.057932
"U[1,100]    (original)",32,64,45.255,0.228657,0.227534,1.004935
"U[1,100]    (original)",64,128,90.51,0.176305,0.196751,0.89608
"U[1,100]    (original)",128,256,181.019,0.11758,0.173056,0.679431
"U[1,100]    (original)",256,512,362.039,0.078173,0.154554,0.505797
"U[1,100000] (large W)",4,8,5.657,0.332862,0.437956,0.760035
"U[1,100000] (large W)",8,16,11.314,0.342232,0.331139,1.033499
"U[1,100000] (large W)",16,32,22.627,0.310978,0.270943,1.147764
"U[1,100000] (large W)",32,64,45.255,0.270002,0.227534,1.186645
"U[1,100000] (large W)",64,128,90.51,0.23759,0.196751,1.207569
"U[1,100000] (large W)",128,256,181.019,0.203064,0.173056,1.173399
"U[1,100000] (large W)",256,512,362.039,0.183896,0.154554,1.189854
"U[0,1] float (cont.)",4,8,5.657,0.329447,0.437956,0.752236
"U[0,1] float (cont.)",8,16,11.314,0.345253,0.331139,1.04262
"U[0,1] float (cont.)",16,32,22.627,0.309712,0.270943,1.143088
"U[0,1] float (cont.)",32,64,45.255,0.270465,0.227534,1.188681
"U[0,1] float (cont.)",64,128,90.51,0.23675,0.196751,1.203296
"U[0,1] float (cont.)",128,256,181.019,0.207735,0.173056,1.200389
"U[0,1] float (cont.)",256,512,362.039,0.179213,0.154554,1.15955
